No.,Time,Source,Destination,Protocol,Length,IP Len,TCP Len,HTTP Data Len,Info,File Data,TCP Seq,TCP Next Seq
20,17.913092,172.28.150.236,172.28.150.15,TCP,6011,44,0,,37  >  8080 [SYN] Seq=0 Win=2048 Len=0 MSS=1460,,0,
22,17.913358,172.28.150.236,172.28.150.15,TCP,60,40,0,,37  >  8080 [ACK] Seq=1 Ack=1 Win=2048 Len=0,,1,
23,17.922153,172.28.150.236,172.28.150.15,TCP,324,310,270,,[TCP segment of a reassembled PDU],,1,271
24,17.926442,172.28.150.236,172.28.150.15,TCP,136,122,82,,[TCP segment of a reassembled PDU],,271,353
26,17.95018,172.28.150.236,172.28.150.15,TCP,902,888,848,,[TCP segment of a reassembled PDU],,353,1201
27,17.973396,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,1201,2031
29,17.996343,172.28.150.236,172.28.150.15,TCP,876,862,822,,[TCP segment of a reassembled PDU],,2031,2853
30,18.01908,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,2853,3669
32,18.042036,172.28.150.236,172.28.150.15,TCP,874,860,820,,[TCP segment of a reassembled PDU],,3669,4489
34,18.064721,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,4489,5305
36,18.088118,172.28.150.236,172.28.150.15,TCP,884,870,830,,[TCP segment of a reassembled PDU],,5305,6135
37,18.11099,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,6135,6951
39,18.133664,172.28.150.236,172.28.150.15,TCP,868,854,814,,[TCP segment of a reassembled PDU],,6951,7765
40,18.15642,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,7765,8581
42,18.179216,172.28.150.236,172.28.150.15,TCP,870,856,816,,[TCP segment of a reassembled PDU],,8581,9397
